datetime,variation_mean,variation_std,up_count,down_count,top_15_variation_mean,top_15_variation_std,LOF_score,LOF_predictions
2000-01-03,0.0363231648489028,0.0998742355951645,0.3938053097345133,0.336283185840708,0.0164570176390145,0.0086765939618375,-1.671543846702253,-1
2000-01-04,0.0361831336057835,0.0674815525119256,0.5517241379310345,0.1379310344827586,0.0410527556134099,0.0199201184332054,-1.140173307616598,-1
2000-01-05,0.0348121267042927,0.0521512517417917,0.1382113821138211,0.5894308943089431,0.0287975217553423,0.0291855468915718,-1.1048268214113126,-1
2000-01-06,0.0299416819210198,0.0703732973525317,0.3237410071942446,0.3597122302158273,0.0106904136355277,0.0105987862516281,-1.2307789199535013,-1
2000-01-07,0.0251559400672961,0.0454343044131705,0.2934782608695652,0.3260869565217391,0.014791398557585,0.0071007418026634,-1.0099588280795084,1
2000-01-10,0.0258775407567918,0.0472426074581123,0.25,0.4347826086956521,0.0097561645233733,0.0080934386056319,-1.0152831441317218,1
2000-01-11,0.0229879080767045,0.0356925446719376,0.4712230215827338,0.1762589928057553,0.0287565006795454,0.0176374181849762,-0.9968315448526556,1
2000-01-12,0.0262643859497938,0.0551862967234381,0.3181818181818182,0.3371212121212121,0.0181793250411966,0.0142993931515513,-1.0629214901423705,-1
2000-01-13,0.0301883303210303,0.0553072661232469,0.4356060606060606,0.2083333333333333,0.0346805056244385,0.0185993456181242,-1.1457854853561615,-1
2000-01-14,0.0323715140058018,0.0823685902659298,0.3346456692913386,0.3700787401574803,0.0193449797803735,0.0338038549384175,-1.5017434045997746,-1
2000-01-17,0.0257978201592596,0.0389234168806872,0.2811244979919678,0.3895582329317269,0.028819555575312,0.0202587082670438,-1.0381108655961198,-1
2000-01-18,0.0217709933547431,0.0301344076537929,0.3513513513513513,0.332046332046332,0.0230365698653941,0.0176953600554297,-1.004085996803396,1
2000-01-19,0.0250283987238038,0.0503502457268642,0.4428571428571428,0.1892857142857142,0.0162490753503427,0.0120178461889787,-1.0388234576993975,-1
2000-01-20,0.0227961467628703,0.0333813016971857,0.475,0.2416666666666666,0.0189512934082598,0.0163335066438768,-1.0298856372848288,-1
2000-01-21,0.0331243226363888,0.0625221236834122,0.3895582329317269,0.3132530120481928,0.0193210476362056,0.0142922771019567,-1.2105300586482697,-1
2000-01-24,0.0248861772602031,0.0539620071066525,0.4078947368421052,0.293859649122807,0.0150753894327267,0.0129136491613149,-1.1511078902099237,-1
2000-01-26,0.031152429067074,0.069877155659582,0.2648221343873518,0.4071146245059288,0.0100244986902152,0.0094211466324655,-1.2648309473376511,-1
2000-01-27,0.0260782772656067,0.0404997203718352,0.37890625,0.3125,0.0195261818587289,0.0133036931425137,-1.018897479672805,1
2000-01-28,0.0224753153688738,0.0302373177859359,0.4363636363636363,0.2181818181818181,0.0280146081705259,0.0198632910764639,-1.0107423328899183,1
2000-01-31,0.0243050863211879,0.0342581356746839,0.425,0.25,0.0228100168468889,0.0186142173206832,-1.0056426802411944,1
2000-02-01,0.0232392655146347,0.0301322375183947,0.4017467248908297,0.3100436681222707,0.015859005475157,0.0194156657964943,-1.0636795424457612,-1
2000-02-02,0.0286135995966808,0.0642665480149154,0.3305785123966942,0.3677685950413223,0.0227732183047342,0.0252886685994901,-1.2698932567971553,-1
2000-02-03,0.0225427129551203,0.0427337009012946,0.2703703703703703,0.374074074074074,0.0226495808179489,0.0124358511913167,-1.008544643607754,1
2000-02-04,0.0265595414768056,0.0511165875378168,0.2755905511811024,0.4488188976377952,0.0136278803264379,0.0144568415362739,-1.1149552368359046,-1
2000-02-07,0.0244055274384113,0.0445848861119874,0.3292181069958848,0.3209876543209876,0.0233062857447063,0.0189818970115464,-1.0243734854307482,1
2000-02-08,0.0268859544237417,0.0409279670690276,0.2613636363636363,0.4318181818181818,0.0208209249269745,0.0195779998822807,-1.0142859670962046,1
2000-02-09,0.0290174962056869,0.0625824030179048,0.3846153846153846,0.273076923076923,0.0204176683160041,0.0140918160895157,-1.1303095963412482,-1
